                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.74452,                 0.3553,                0.99412,                0.88329,                0.81996,                0.88506,                0.59247,                  1.107,                0.56819,                  1.274,                0.00109,                0.00109,                0.00109
                     92,                 0.7292,                0.34496,                0.98796,                0.88154,                0.81978,                0.88473,                0.59171,                 1.1075,                0.56875,                 1.2761,               0.000991,               0.000991,               0.000991
                     93,                0.72348,                0.34043,                0.98571,                0.87859,                0.82329,                0.88501,                0.59109,                 1.1081,                0.56823,                 1.2776,               0.000892,               0.000892,               0.000892
                     94,                0.71463,                0.33798,                0.97615,                0.88053,                 0.8229,                0.88462,                0.59092,                 1.1077,                0.56977,                 1.2785,               0.000793,               0.000793,               0.000793
                     95,                0.70488,                0.33365,                0.97492,                0.88111,                0.82264,                0.88404,                0.59044,                 1.1076,                 0.5703,                 1.2801,               0.000694,               0.000694,               0.000694
                     96,                0.69811,                0.33156,                0.97099,                0.87758,                0.82261,                 0.8836,                   0.59,                 1.1083,                0.57096,                 1.2819,               0.000595,               0.000595,               0.000595
                     97,                0.69419,                0.32515,                0.96615,                0.87626,                0.82622,                0.88355,                 0.5896,                 1.1085,                0.57184,                 1.2832,               0.000496,               0.000496,               0.000496
                     98,                0.68572,                0.32229,                0.96007,                0.87419,                0.82655,                0.88324,                0.58946,                 1.1086,                 0.5726,                 1.2844,               0.000397,               0.000397,               0.000397
                     99,                 0.6812,                0.32191,                0.95855,                0.87227,                0.82546,                0.88361,                0.58964,                 1.1097,                0.57377,                 1.2864,               0.000298,               0.000298,               0.000298
                    100,                0.67776,                0.32045,                0.95852,                0.87106,                0.82845,                0.88349,                0.59002,                 1.1102,                0.57447,                 1.2876,               0.000199,               0.000199,               0.000199
